,name,id,category,address,lat,lng,city,state,rating,price_tier,serves,bucket,big_bucket,image_url,like_counts
19,McDonald's,529fab2f11d2f66265d3c18e,'fast food restaurant',Sepulveda Blvd.,33.93337425,-118.3962367,El Segundo,CA,5.8,1,,0,1,,1
20,Carl's Jr. / Green Burrito,4b14397ff964a5208f9f23e3,'fast food restaurant',639 N Pacific Coast Hwy,33.92486917,-118.3966987,El Segundo,CA,6.3,1,"Dinner, Breakfast & more",0,1,https://fastly.4sqi.net/img/general/300x500/12596672_kenrkY1VRL-64DBC5hPJZRNftRDXYRt5-czJJYURlwQ.jpg,25
21,Carl's Jr.,547918f0498ef6bf85c037af,'fast food restaurant',na,33.94255704,-118.3979483,Los Angeles,CA,6.4,1,,0,1,https://fastly.4sqi.net/img/general/300x500/8914615_MXSUA6uO5Ox9NxSgvyUhJwJt2bhK0beMGhHEZDXH1ik.jpg,2
22,Point The Way Café,5783d4d1498e34787f8a90fa,'gastropub',na,33.94113193,-118.40222539999999,Los Angeles,CA,6.2,3,"Dinner, Lunch & more",2,1,https://fastly.4sqi.net/img/general/300x500/28183239_dfhnXviaO9WbaMFG9TjEB6ujwbVHVVo5sPUP92uZ7qw.jpg,5
23,The Counter,537e16fc498ee5d4ff0d97df,'burger joint',LAX Airport Terminal 7,33.94156531,-118.399413,Los Angeles,CA,6.2,1,"Dinner, Breakfast & more",0,1,https://fastly.4sqi.net/img/general/300x500/481511841_dfMsvHXKLUN5X1drhue5VrT0_GUGBU1qYhs5F3Rg2KE.jpg,23
24,Joe's Food Truck,4f3a9e1de4b05a156a1562bd,'food truck',na,33.93197663,-118.3951926,Los Angeles,CA,,1,,0,1,https://fastly.4sqi.net/img/general/300x500/PtEPH_E1KlQ4X0TlQRNlgS3-UgYtiVwwYZOzTSwWQN0.jpg,0
25,Engine Co No 28,53066fc711d2fc1d6b237426,'american restaurant',Terminal 8,33.94210439,-118.39745459999999,Los Angeles,CA,6.1,2,"Dinner, Breakfast & more",3,1,https://fastly.4sqi.net/img/general/300x500/8466633_gAadPE3qtTfz8XIY8jqNOmRGghY4wqX3ccDeIrd9Bck.jpg,30
26,Trimana,4aef25a0f964a5200ed621e3,'american restaurant',909 N. Sepulveda Blvd.,33.92937157,-118.39646979999999,Los Angeles,CA,,2,Breakfast & Lunch,3,1,https://fastly.4sqi.net/img/general/300x500/2902033_WzS_etDbJdSk5MhnjNvc_5bOeO7jU9-8I4MVFIfbQHk.jpg,2
27,Richeeze,55550b11498e14b9ef1f3819,'food truck',929 Colorado Ave,33.9292598,-118.39588859999999,Santa Monica,CA,,1,Lunch & Dinner,0,1,https://fastly.4sqi.net/img/general/300x500/144463780_cnr6kSNcdaQXTc_kvzwqitxZrBZeFJefKrng7VlqSd8.jpg,1
28,Express Chinese Food,4bce026fb6c49c7436619691,'chinese restaurant',630 N Sepulveda Blvd,33.92450292,-118.39555120000001,El Segundo,CA,5.9,1,,9,1,https://fastly.4sqi.net/img/general/300x500/12632086_Pg94bfthdVTSiUayOVxcflRNZh5rBmFJJhFzJ66Logk.jpg,5
